Name,File,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Antonio Neri,Antonio Neri - HPE.txt,0.5063026348749796,0.5013202130794525,0.5484931468963623,0.5506264915068945,0.5480023423830668
John Doyle,John Doyle - MMC.txt,0.5212670117616653,0.5027198990186056,0.5364388326803843,0.5243962605794271,0.5788604517777761
Edward Decker,Edward Decker - HD.txt,0.5278120040893555,0.4945424199104309,0.5382598439852396,0.47326987981796265,0.5865652759869894
Tricia Griffith,1Tricia Griffith - PGR.txt,0.4783000200986862,0.4882971227169037,0.5512365281581879,0.5643717736005783,0.5259361028671264
Jon Moeller,Jon Moeller - PG.txt,0.530166745185852,0.5000453293323517,0.5294475182890892,0.46982091665267944,0.5850792825222015
Jacek Olczak,Jacek Olczak - pm.txt,0.5062570050358772,0.5027360618114471,0.532687321305275,0.48382796347141266,0.5489928275346756
Gail Boudreaux,1Gail Boudreaux - ELV.txt,0.5241824567317963,0.5092330515384674,0.5255256295204163,0.4595135092735291,0.5870445966720581
Matt Meloy,Matt Meloy - TRGP.txt,0.4986032783985138,0.48834776878356934,0.5442628860473633,0.4930161595344543,0.5594172477722168
James Chriss,James Chriss - PYPL.txt,0.5322654008865356,0.4891105771064758,0.5481632113456726,0.534272062778473,0.5643356680870056
Michael Mahoney,Michael Mahoney - BSX.txt,0.5165840983390808,0.4903455972671509,0.5568314592043558,0.5294924279054006,0.5635794401168823
Elon Musk,Elon Musk - TSLA.txt,0.5093132853507996,0.5139334627560207,0.5392445964472634,0.4969957768917084,0.5601066436086383
Charlie Scharf,Charlie Scharf - WFC.txt,0.4644026756286621,0.5185136397679647,0.542427659034729,0.4501627782980601,0.5153576135635376
Shantanu Narayen,Shantanu Narayen - ADBE.txt,0.5298770666122437,0.4807085196177165,0.5516557693481445,0.582230399052302,0.5478810866673788
Jeff Harmening,Jeff Harmening - GIS.txt,0.5174624659121037,0.49946197494864464,0.5375408306717873,0.5001540891826153,0.5714237913489342
Preston Feight,Preston Feight - PCAR.txt,0.5309439698855082,0.5155429343382517,0.5187574923038483,0.45725353558858234,0.6039374967416128
Scott Kirby,Scott Kirby - UAL.txt,0.527036726474762,0.5087733268737793,0.5291789174079895,0.5083404779434204,0.5821076035499573
Wendell Weeks,Wendell Weeks - GLW.txt,0.48956555128097534,0.5111420849959055,0.5335814555486044,0.46836509307225543,0.5605376561482748
Nick Zarcone,Nick Zarcone - LKQ.txt,0.5111701190471649,0.5176654011011124,0.5013637393712997,0.43630266189575195,0.5628264248371124
Tim Cook,Tim Cook - AAPL.txt,0.5202711224555969,0.5071126520633698,0.5420639316240946,0.4852377275625865,0.5575783650080363
Larry Coben,Larry Coben - NRG.txt,0.5034306794404984,0.4984724521636963,0.5427800118923187,0.5268336832523346,0.5720000267028809
Ray Scott,Ray Scott - LEA.txt,0.47006235271692276,0.501581959426403,0.5293560326099396,0.5059329122304916,0.5137296319007874
Jane Fraser,Jane Fraser - Citigroup CEO.txt,0.5137563236057758,0.5075467117130756,0.5400370210409164,0.49201663956046104,0.5728150568902493
Gary Dickerson,Gary Dickerson - AMAT.txt,0.5352046489715576,0.499900683760643,0.551462709903717,0.5048154890537262,0.6089730858802795
Martin Schroeter,Martin Schroeter - KD.txt,0.522054523229599,0.5085196942090988,0.5273955017328262,0.505269318819046,0.5879487693309784
Saum Sutaria,Saum Sutaria - THC.txt,0.4969536264737447,0.497689629594485,0.540067732334137,0.5416233241558075,0.5446120500564575
Satya Nadella,Satya Nadella - MSFT.txt,0.5370689511299134,0.5197894692420959,0.5273069739341736,0.4447497189044952,0.5986585974693298
Greg Hayes,Greg Hayes - RTX.txt,0.504956066608429,0.5117952823638916,0.5385822355747223,0.4784141182899475,0.5831160843372345
Rick Dreiling,Rick Dreiling - DLTR.txt,0.49261345714330673,0.501948893070221,0.5451313257217407,0.5021374002099037,0.5673980861902237
Billy Gifford,Billy Gifford - MO.txt,0.523125341960362,0.5053878852299282,0.529524062361036,0.47990821514810833,0.5947464278766087
Jim Burke,Jim Burke - VST.txt,0.5216201208531857,0.5041134729981422,0.5304575152695179,0.4929937720298767,0.5700941905379295
Safra Catz -ORCL,1Safra Catz -ORCL.txt,0.5122354825337728,0.5083579421043396,0.5446240703264872,0.4912325938542684,0.5888317227363586
Fred Lissalde,Fred Lissalde - BWA.txt,0.5004684428373972,0.4939590394496918,0.5506405234336853,0.565385639667511,0.5442875623703003
Daniel Fisher,Daniel Fisher - BALL.txt,0.4906884994771745,0.5035906169149611,0.5433977908558316,0.49203525980313617,0.5593794385592142
Lorenzo Simonelli,Lorenzo Simonelli - BKR.txt,0.5385126292705535,0.4945273220539093,0.5317087769508362,0.49946665167808535,0.5677083432674408
Hans Vestberg,Hans Vestberg - VZ.txt,0.5120951533317566,0.5037495153290885,0.5352331910814557,0.48249066301754545,0.565942006451743
Richard Gonzalez,Richard Gonzalez - ABBV.txt,0.5219693183898926,0.5093504786491394,0.5585374434789022,0.5922495722770691,0.5556984146436056
Mike Salvino,Mike Salvino - DXC.txt,0.5193960778415203,0.514169093221426,0.5392590314149857,0.47278811410069466,0.5809159129858017
Ravi Kumar,Ravi Kumar - CTSH.txt,0.517712190747261,0.49222975224256516,0.5474991649389267,0.520448449999094,0.5446315035223961
Ari Bousbib,Ari Bousbib - IQV.txt,0.5060459673404694,0.5045370906591415,0.52707373102506,0.4748937785625458,0.5671525994936625
New Text Document,New Text Document.txt,0.45391833782196045,0.5793998837471008,0.43488162755966187,0.2668876051902771,0.5207418203353882
Tony Cheng,Tony Cheng - RGA.txt,0.5299600958824158,0.5057156682014465,0.5271397829055786,0.4923808127641678,0.604040652513504
Larry Culp,Larry Culp - GE.txt,0.5079484283924103,0.4946370869874954,0.5538914799690247,0.5735685974359512,0.5676585137844086
Laxman Narasimhan,Laxman Narasimhan - SBUX.txt,0.542277455329895,0.5146152153611183,0.530959241092205,0.47764085978269577,0.5754060745239258
