Name,File,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Antonio Neri,Antonio Neri - HPE.txt,0.50702707356465,0.5066016059743981,0.5548439714316534,0.6089625980750809,0.5773995667828664
John Doyle,John Doyle - MMC.txt,0.529525975925067,0.5027585422298491,0.5438572232669494,0.5842867009995184,0.5864406161027889
Edward Decker,Edward Decker - HD.txt,0.539327794019049,0.48644459300255016,0.5391676228931996,0.46955355223304096,0.5941228329835295
Tricia Griffith,1Tricia Griffith - PGR.txt,0.4847974140076291,0.4814386201990387,0.5547334284753718,0.6191674417525875,0.5684177084174417
Jon Moeller,Jon Moeller - PG.txt,0.5404668780173495,0.4999755666964159,0.5471601423666601,0.45044416460351894,0.5930189631040436
Jacek Olczak,Jacek Olczak - pm.txt,0.5209180126984438,0.5071358375234276,0.5406501774681913,0.5165758958369862,0.585044201785253
Gail Boudreaux,1Gail Boudreaux - ELV.txt,0.5414781020468189,0.5140535551228523,0.531424129764219,0.4385471033175739,0.5923285857769512
Matt Meloy,Matt Meloy - TRGP.txt,0.47130019542709833,0.4777345910424434,0.5468110197013331,0.4992271620282214,0.5797423823117642
James Chriss,James Chriss - PYPL.txt,0.5466719617487115,0.48728041451264015,0.5489096176866972,0.6061766464362373,0.5776448839535838
Michael Mahoney,Michael Mahoney - BSX.txt,0.5321783903117449,0.48093513709412483,0.557775789659902,0.5893456499576141,0.5702421974223466
Elon Musk,Elon Musk - TSLA.txt,0.5118564324828939,0.5211324170668149,0.548174082988309,0.5347401748409515,0.5699115225968271
Charlie Scharf,Charlie Scharf - WFC.txt,0.4614425729150885,0.522436744088276,0.5428917265404752,0.4478618455566643,0.5180518929222097
Shantanu Narayen,Shantanu Narayen - ADBE.txt,0.5398423221513245,0.4804126388326304,0.5517304970794885,0.6230579882281786,0.5565559130513019
Jeff Harmening,Jeff Harmening - GIS.txt,0.5227582106376886,0.5048274407065585,0.5427354901644135,0.5026317477575015,0.5880625958773152
Preston Feight,Preston Feight - PCAR.txt,0.5341967044901661,0.523866643659198,0.5325079713939471,0.44349978088098546,0.6058536173473635
Scott Kirby,Scott Kirby - UAL.txt,0.527036726474762,0.5087733268737793,0.5291789174079895,0.5083404779434204,0.5821076035499573
Wendell Weeks,Wendell Weeks - GLW.txt,0.48816586906412746,0.5170171025411421,0.5396780131791651,0.45212718193726303,0.5701729659476725
Nick Zarcone,Nick Zarcone - LKQ.txt,0.5223402380943298,0.5353308022022247,0.5027274787425995,0.4195667078378553,0.611991358888983
Tim Cook,Tim Cook - AAPL.txt,0.5283392461187523,0.5219002708646335,0.5428620612071806,0.47979862093532566,0.5600450539813986
Larry Coben,Larry Coben - NRG.txt,0.5068613588809967,0.4969449043273926,0.5499442511552418,0.5536673665046692,0.5934062917851416
Ray Scott,Ray Scott - LEA.txt,0.4401422211998948,0.4995747564801343,0.5418129171474595,0.5126028334728505,0.5413410088270652
Jane Fraser,Jane Fraser - Citigroup CEO.txt,0.5086802689630874,0.5112971358553539,0.5425398313617245,0.514916249646502,0.585003786266174
Gary Dickerson,Gary Dickerson - AMAT.txt,0.54491820324021,0.499801367521286,0.5514634023142783,0.5092935447798195,0.6106763249682757
Martin Schroeter,Martin Schroeter - KD.txt,0.5289200987621974,0.5159647107440474,0.5354898578189591,0.5571914088625319,0.6032917031419104
Saum Sutaria,Saum Sutaria - THC.txt,0.501083348035341,0.4960818437724661,0.5453339926389656,0.5922004474856312,0.5644320846458435
Satya Nadella,Satya Nadella - MSFT.txt,0.5464501541266669,0.5218458564641673,0.5296962913946238,0.44220760671957293,0.606977805810839
Greg Hayes,Greg Hayes - RTX.txt,0.5099121332168579,0.5129026673476513,0.5391356646496889,0.4727982934573147,0.5838902943254666
Rick Dreiling,Rick Dreiling - DLTR.txt,0.481186995243718,0.5041351162282551,0.5479251021752033,0.4969199219334693,0.5765949631480396
Billy Gifford,Billy Gifford - MO.txt,0.5280030811547698,0.5055834083133615,0.5346004919684013,0.4674531795448362,0.5980895108081725
Jim Burke,Jim Burke - VST.txt,0.5281742947203629,0.5112753130101219,0.5312225584897763,0.47562109687674703,0.5825474734336151
Safra Catz -ORCL,1Safra Catz -ORCL.txt,0.5205838481517101,0.5142462037777907,0.5493595997198872,0.48900764544858516,0.591931685397981
Fred Lissalde,Fred Lissalde - BWA.txt,0.4982461590018928,0.48171364615857604,0.5533673607051135,0.60310172267477,0.5585796771011224
Daniel Fisher,Daniel Fisher - BALL.txt,0.48056003654676444,0.5078350384902455,0.549159127368717,0.5289687782945041,0.5855505274426622
Lorenzo Simonelli,Lorenzo Simonelli - BKR.txt,0.5494687197048983,0.48826812207396003,0.5382407178673478,0.510516722787235,0.5996641660113178
Hans Vestberg,Hans Vestberg - VZ.txt,0.544022173447145,0.5062798982963397,0.5405359636455745,0.4897474297732854,0.5846053665157129
Richard Gonzalez,Richard Gonzalez - ABBV.txt,0.5296494074944251,0.5215127232925877,0.5724058264661381,0.6478597664422476,0.5763768349779294
Mike Salvino,Mike Salvino - DXC.txt,0.5363777092598986,0.5197007777033211,0.5423123802108508,0.4626319819424155,0.5936271926454962
Ravi Kumar,Ravi Kumar - CTSH.txt,0.535869078162784,0.48475331557318513,0.5495850857460396,0.5670612677620113,0.5584272872974524
Ari Bousbib,Ari Bousbib - IQV.txt,0.5018746829871494,0.5017509525500403,0.5282756022441629,0.4803514232604106,0.5841776013603618
New Text Document,New Text Document.txt,0.45391833782196045,0.5793998837471008,0.43488162755966187,0.2668876051902771,0.5207418203353882
Tony Cheng,Tony Cheng - RGA.txt,0.5302223992724997,0.508160739056493,0.5294361676243626,0.48476162552833557,0.60481354897373
Larry Culp,Larry Culp - GE.txt,0.5158968567848206,0.48927417397499084,0.5833854966451251,0.6471371948719025,0.6090658116829963
Laxman Narasimhan,Laxman Narasimhan - SBUX.txt,0.544831934968752,0.5295512555533146,0.539198564091671,0.4427685471861282,0.5891247693135759
Andrew Clyde,Andrew Clyde - MUSA.txt,0.5012764390693438,0.5222878038983494,0.5300142143704784,0.44654136176713183,0.5762633799572772
Ramon Laguarta,Ramon Laguarta - PEP.txt,0.542658148544798,0.48810222606739495,0.5498234643691831,0.5371112859003143,0.579985044758073
Kim Dang,1Kim Dang - KMI.txt,0.4867070406926193,0.4906335171716867,0.556172242402589,0.5580030337359694,0.5651098964378394
Brian Cornell,Brian Cornell - TGT.txt,0.5494553121508375,0.4826804788444283,0.5567298356825577,0.5949628183133158,0.5838980148715807
Jenny Parmentier,1Jenny Parmentier - PH.txt,0.45664526705230074,0.5118823672608729,0.5412407290011138,0.3913014818234444,0.542696098452012
Darren Woods,Darren Woods - XOM.txt,0.5349752354733032,0.5282963431828728,0.5370471858305719,0.4496774885853808,0.5852827217979018
Anthony Capuano,Anthony Capuano - MAR.txt,0.5625249258374927,0.5078434984020923,0.5496711178570904,0.5473890247010789,0.579007431624055
Pierce Norton,Pierce Norton - OKE.txt,0.45656500370913644,0.47598156332969666,0.5597814513954689,0.6389211931727357,0.4976452589035034
Jensen Huang,Jensen Huang - NVDA.txt,0.5167925976451748,0.5256295949755823,0.5408631096409963,0.46132976236336964,0.5863059965405577
Ryan McInerney,Ryan McInerney - V.txt,0.5506199705544852,0.4864448787502373,0.5333337102073795,0.5022453915416439,0.606790799945016
Bruce Bodine,Bruce Bodine - MOS.txt,0.5269434164905982,0.4795576961546151,0.5767128921245745,0.5736106425538249,0.5861635496608006
Bob Blue,Bob Blue - D.txt,0.5222594720154698,0.49500214793914715,0.572426744766783,0.6237745583226942,0.5628425829074557
Marvin  Ellison,Marvin  Ellison - LOW.txt,0.5460772147668539,0.4788646079632711,0.5509490329789712,0.6006223631503896,0.5797083448471367
David Rush,David Rush - BLDR.txt,0.49430316686630243,0.5149241305806537,0.543353092002192,0.5129327178001404,0.5879904753465609
Vicki Hollub,1Vicki Hollub - OXY.txt,0.45632912557380967,0.4713222441907004,0.5531671416947015,0.6026906264413633,0.5146640125836455
Carrie Wheeler,1Carrie Wheeler - OPEN.txt,0.5315872014076328,0.49071086508641665,0.5472738884810529,0.47468257685597215,0.599767152556517
Marc Benioff,Marc Benioff - CRM.txt,0.539130352700186,0.5271116143820391,0.5453641515593948,0.4386088121183892,0.5796600040978079
Mark Sutton,Mark Sutton - IP.txt,0.48457184845435347,0.5094571957362612,0.5486298209116385,0.509141017632332,0.5874248796954048
James Taiclet,James Taiclet - LMT.txt,0.5010264242409066,0.5235005887084041,0.5390728386921719,0.4592862094023321,0.5838941982481458
Daniel O’Day,Daniel O’Day - GILD.txt,0.5138794779777527,0.49114906787872314,0.5431622266769409,0.5116429328918457,0.5834324955940247
Stéphane Bancel,Stéphane Bancel - MRNA.txt,0.5181164870880752,0.48737454891310267,0.5486416123988594,0.6222236150145776,0.5523323090656566
Todd Vasos,Todd Vasos - DG.txt,0.5206808938928654,0.5175602504297263,0.5454773338900024,0.4616927354315535,0.6038218033853255
Jeffrey Miller,Jeffrey Miller - HAL.txt,0.5315069491648928,0.5027397542491121,0.5451674507158115,0.5682988398714436,0.5950148720131107
John Donahoe,John Donahoe - NKE.txt,0.5522068849807487,0.48729162897082257,0.5491592692942078,0.4478038054586358,0.5936579940490789
Bill Demchak,Bill Demchak - PNC.txt,0.4774591550639677,0.48388862376542785,0.5476419567566845,0.5903922516072406,0.5669470601886308
Sean O_Connor,Sean O_Connor - SNEX.txt,0.5220431266947871,0.5327364414395369,0.5444668315392688,0.4440903571605225,0.5895884952827952
